action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV
move,auto_leave,,,,33,2,2,,0.0,0,,0.0,180.0,176.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.2592, 0.7408]","[0.2, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,33,2,2,176.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,34,1,2,,0.0,0,,0.0,176.0,172.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,34,1,2,172.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,35,0,2,,0.0,0,,0.0,172.0,168.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,35,0,2,168.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,36,1,2,,0.0,0,,0.0,168.0,164.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,36,1,2,164.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,37,0,2,,0.0,0,,0.0,164.0,160.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,37,0,2,160.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
